label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Bus ,1053,1246,390,387,frameV1140.jpg,3840,2160
Car,1483,1375,261,298,frameV1140.jpg,3840,2160
Car,1684,1453,442,367,frameV1140.jpg,3840,2160
Car,2203,1407,479,379,frameV1140.jpg,3840,2160
Car,2901,1395,465,405,frameV1140.jpg,3840,2160
Car,2628,1378,270,339,frameV1140.jpg,3840,2160
Car,1974,1401,275,250,frameV1140.jpg,3840,2160
Semi-truck,1693,1298,149,109,frameV1140.jpg,3840,2160
Bus ,1455,1284,117,100,frameV1140.jpg,3840,2160
Bus ,803,1162,651,723,frameV1760.jpg,3840,2160
Car,1743,1528,619,430,frameV1760.jpg,3840,2160
Car,2322,1468,494,402,frameV1760.jpg,3840,2160
Car,2747,1448,285,305,frameV1760.jpg,3840,2160
Car,2017,1449,312,190,frameV1760.jpg,3840,2160
Car,1649,1467,232,156,frameV1760.jpg,3840,2160
Car,1897,1436,138,105,frameV1760.jpg,3840,2160
Car,1437,1416,76,89,frameV1760.jpg,3840,2160
Car,1562,1416,94,71,frameV1760.jpg,3840,2160
Semi-truck,1685,1333,129,123,frameV1760.jpg,3840,2160
Car,3237,1380,465,673,frameV1760.jpg,3840,2160
Car,0,866,726,380,frameV20.jpg,2560,1440
Car,876,901,147,123,frameV20.jpg,2560,1440
Car,694,898,150,153,frameV20.jpg,2560,1440
Van ,1002,836,273,209,frameV20.jpg,2560,1440
Car,1285,910,89,125,frameV20.jpg,2560,1440
Car,1830,904,88,146,frameV20.jpg,2560,1440
Car,1259,2982,771,858,frameV3200.jpg,2160,3840
Car,0,3297,477,543,frameV3200.jpg,2160,3840
Motorcycle ,162,2265,130,391,frameV3200.jpg,2160,3840
Motorcycle ,1570,1485,49,80,frameV3200.jpg,2160,3840
Car,1443,1487,70,65,frameV3200.jpg,2160,3840
Car,478,2341,334,344,frameV3200.jpg,2160,3840
Car,845,2204,300,230,frameV3200.jpg,2160,3840
Car,522,2100,256,191,frameV3200.jpg,2160,3840
Car,835,2020,158,150,frameV3200.jpg,2160,3840
Car,574,2002,178,127,frameV3200.jpg,2160,3840
Car,701,1950,166,103,frameV3200.jpg,2160,3840
Car,662,1891,145,101,frameV3200.jpg,2160,3840
Van ,894,1800,155,168,frameV3200.jpg,2160,3840
Van ,949,1712,127,103,frameV3200.jpg,2160,3840
Van ,669,1746,106,109,frameV3200.jpg,2160,3840
Car,788,1803,106,88,frameV3200.jpg,2160,3840
Car,1424,1454,62,45,frameV3200.jpg,2160,3840
Car,830,1758,102,61,frameV3200.jpg,2160,3840
Car,891,1704,76,50,frameV3200.jpg,2160,3840
Motorcycle ,818,1724,37,54,frameV3200.jpg,2160,3840
Car,440,1763,214,81,frameV3200.jpg,2160,3840
Car,1109,1456,73,56,frameV3200.jpg,2160,3840
Car,917,1676,57,33,frameV3200.jpg,2160,3840
Van ,1164,2618,798,1189,frameV3460.jpg,2160,3840
Car,0,2928,474,690,frameV3460.jpg,2160,3840
Van ,1973,1678,187,288,frameV3460.jpg,2160,3840
Van ,797,1834,201,217,frameV3460.jpg,2160,3840
Van ,621,1693,121,105,frameV3460.jpg,2160,3840
Van ,1218,1700,157,157,frameV3460.jpg,2160,3840
Car,1720,1741,163,150,frameV3460.jpg,2160,3840
Car,1730,1597,128,109,frameV3460.jpg,2160,3840
Car,1500,1546,105,86,frameV3460.jpg,2160,3840
Car,403,2239,321,294,frameV3460.jpg,2160,3840
Car,729,2086,207,212,frameV3460.jpg,2160,3840
Car,781,2015,193,138,frameV3460.jpg,2160,3840
Car,640,1884,116,123,frameV3460.jpg,2160,3840
Motorcycle ,581,1854,72,99,frameV3460.jpg,2160,3840
Van ,534,1963,175,158,frameV3460.jpg,2160,3840
Car,796,1783,106,86,frameV3460.jpg,2160,3840
Car,913,1738,104,83,frameV3460.jpg,2160,3840
Car,774,1712,91,65,frameV3460.jpg,2160,3840
Car,826,1688,68,51,frameV3460.jpg,2160,3840
Car,824,1648,65,47,frameV3460.jpg,2160,3840
Car,877,1626,62,45,frameV3460.jpg,2160,3840
Car,945,1714,69,35,frameV3460.jpg,2160,3840
Car,943,1687,69,26,frameV3460.jpg,2160,3840
Car,408,1705,214,70,frameV3460.jpg,2160,3840
Car,260,238,61,63,frameV5140.jpg,640,360
Car,161,213,53,52,frameV5140.jpg,640,360
Car,330,188,50,40,frameV5140.jpg,640,360
Car,269,184,37,30,frameV5140.jpg,640,360
Car,274,153,33,23,frameV5140.jpg,640,360
Car,245,142,28,19,frameV5140.jpg,640,360
Car,288,128,22,15,frameV5140.jpg,640,360
Car,266,122,17,12,frameV5140.jpg,640,360
Car,301,116,16,11,frameV5140.jpg,640,360
Car,287,111,13,10,frameV5140.jpg,640,360
Car,325,118,17,11,frameV5140.jpg,640,360
Car,331,111,14,7,frameV5140.jpg,640,360
Car,538,127,23,12,frameV5140.jpg,640,360
Car,532,112,19,12,frameV5140.jpg,640,360
Car,507,107,14,11,frameV5140.jpg,640,360
Car,488,107,12,10,frameV5140.jpg,640,360
Car,493,102,12,8,frameV5140.jpg,640,360
Car,557,119,28,17,frameV5140.jpg,640,360
Car,610,125,25,19,frameV5140.jpg,640,360
Car,355,238,65,56,frameV51120.jpg,640,360
Car,252,228,55,45,frameV51120.jpg,640,360
Car,252,172,35,31,frameV51120.jpg,640,360
Car,272,151,29,23,frameV51120.jpg,640,360
Car,234,144,27,22,frameV51120.jpg,640,360
Car,254,127,20,13,frameV51120.jpg,640,360
Car,286,129,22,14,frameV51120.jpg,640,360
Car,299,121,14,10,frameV51120.jpg,640,360
Car,285,114,17,12,frameV51120.jpg,640,360
Car,318,107,12,9,frameV51120.jpg,640,360
Car,619,139,21,30,frameV51120.jpg,640,360
Car,594,125,23,17,frameV51120.jpg,640,360
Car,572,120,23,15,frameV51120.jpg,640,360
Car,538,112,15,14,frameV51120.jpg,640,360
Car,521,110,14,13,frameV51120.jpg,640,360
Car,509,108,10,10,frameV51120.jpg,640,360
Car,497,108,14,10,frameV51120.jpg,640,360
Car,484,104,13,10,frameV51120.jpg,640,360
Car,199,246,62,66,frameV6280.jpg,640,360
Car,146,227,53,46,frameV6280.jpg,640,360
Car,406,194,35,32,frameV6280.jpg,640,360
Semi-truck,370,132,26,30,frameV6280.jpg,640,360
Semi-truck,350,127,16,26,frameV6280.jpg,640,360
Semi-truck,440,180,0,1,frameV6280.jpg,640,360
Van ,13,234,95,74,frameV6280.jpg,640,360
Car,212,181,30,25,frameV6280.jpg,640,360
Car,181,179,27,25,frameV6280.jpg,640,360
Car,269,171,23,18,frameV6280.jpg,640,360
Car,332,141,10,9,frameV6280.jpg,640,360
Car,257,157,15,13,frameV6280.jpg,640,360
Car,233,154,17,14,frameV6280.jpg,640,360
Semi-truck,278,131,14,16,frameV6280.jpg,640,360
Van ,283,144,16,15,frameV6280.jpg,640,360
Semi-truck,426,154,76,76,frameV6340.jpg,640,360
Semi-truck,374,145,54,68,frameV6340.jpg,640,360
Van ,168,174,39,41,frameV6340.jpg,640,360
Car,77,217,63,57,frameV6340.jpg,640,360
Car,103,250,70,65,frameV6340.jpg,640,360
Car,146,314,73,46,frameV6340.jpg,640,360
Car,229,219,47,41,frameV6340.jpg,640,360
Car,225,175,29,21,frameV6340.jpg,640,360
Car,259,177,34,25,frameV6340.jpg,640,360
Car,345,172,27,24,frameV6340.jpg,640,360
Car,227,158,19,14,frameV6340.jpg,640,360
Car,251,156,20,15,frameV6340.jpg,640,360
Car,338,152,14,12,frameV6340.jpg,640,360
Car,357,151,14,14,frameV6340.jpg,640,360
Car,280,152,19,13,frameV6340.jpg,640,360
Car,253,144,14,12,frameV6340.jpg,640,360
Car,272,144,14,11,frameV6340.jpg,640,360
Semi-truck,0,165,143,194,frameV6580.jpg,640,360
Car,199,272,63,51,frameV6580.jpg,640,360
Car,533,238,73,70,frameV6580.jpg,640,360
Car,161,219,50,43,frameV6580.jpg,640,360
Car,151,177,34,45,frameV6580.jpg,640,360
Car,426,183,32,31,frameV6580.jpg,640,360
Car,397,158,22,21,frameV6580.jpg,640,360
Car,355,187,28,31,frameV6580.jpg,640,360
Car,268,176,21,24,frameV6580.jpg,640,360
Car,234,170,18,23,frameV6580.jpg,640,360
Semi-truck,209,155,29,30,frameV6580.jpg,640,360
Car,343,154,18,15,frameV6580.jpg,640,360
Semi-truck,333,129,12,15,frameV6580.jpg,640,360
Car,378,147,13,16,frameV6580.jpg,640,360
Car,280,154,18,18,frameV6580.jpg,640,360
Car,255,160,15,14,frameV6580.jpg,640,360
Car,264,150,13,12,frameV6580.jpg,640,360
Car,266,136,10,12,frameV6580.jpg,640,360
