epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.355,1.49594,3.31696,1.11773,0.00404,0.26479,0.09497,0.06823,1.60074,4.2866,0.97821,0.00024442,0.00024442,0.00024442
2,615.048,1.39791,2.0947,1.09686,0.00491,0.42385,0.15003,0.10265,1.35487,3.87922,0.92767,0.000490051,0.000490051,0.000490051
3,890.642,1.30906,2.01061,1.06162,0.4762,0.05797,0.2461,0.14566,1.47275,3.51672,0.957,0.000725563,0.000725563,0.000725563
4,1169.73,1.33255,1.90645,1.06394,0.55878,0.18303,0.27147,0.14841,1.50423,3.13632,0.98716,0.000950956,0.000950956,0.000950956
5,1392.69,1.33013,1.82227,1.07573,0.33371,0.19453,0.28842,0.18068,1.37645,2.72682,0.96967,0.00102301,0.00102301,0.00102301
6,1595.57,1.30568,1.72574,1.07189,0.48255,0.26958,0.2921,0.18933,1.42734,2.63541,0.98642,0.00100101,0.00100101,0.00100101
7,1795.84,1.34212,1.71014,1.08493,0.44958,0.49916,0.36168,0.21328,1.54833,2.14676,1.04394,0.000979013,0.000979013,0.000979013
8,1967.57,1.30312,1.64588,1.05599,0.45024,0.42361,0.33383,0.18313,1.57167,2.19015,1.0426,0.000957015,0.000957015,0.000957015
9,2131.51,1.26745,1.58653,1.05827,0.39815,0.45115,0.39062,0.22917,1.45639,1.97947,1.02061,0.000935018,0.000935018,0.000935018
10,2296.82,1.26964,1.52541,1.05654,0.27452,0.50097,0.30956,0.1797,1.42569,2.04154,0.99552,0.00091302,0.00091302,0.00091302
11,2461.42,1.26845,1.57555,1.05065,0.40649,0.426,0.39787,0.25467,1.38819,2.01177,0.97165,0.000891022,0.000891022,0.000891022
12,2626.71,1.26432,1.50555,1.03395,0.32879,0.60375,0.37543,0.20838,1.46343,1.86654,1.02395,0.000869024,0.000869024,0.000869024
13,2791.69,1.26679,1.44345,1.04037,0.40763,0.45911,0.29902,0.20535,1.32781,2.06969,0.9787,0.000847026,0.000847026,0.000847026
14,2956.53,1.26745,1.42902,1.03479,0.6258,0.45402,0.42253,0.26914,1.35855,1.78248,0.97827,0.000825029,0.000825029,0.000825029
15,3122.04,1.23847,1.42608,1.03689,0.40768,0.44771,0.36308,0.22517,1.55351,1.90524,1.05624,0.000803031,0.000803031,0.000803031
16,3287.36,1.22291,1.40646,1.03076,0.37014,0.39972,0.29416,0.16471,1.62006,2.08591,1.03569,0.000781033,0.000781033,0.000781033
17,3452.65,1.22642,1.30922,1.0196,0.61535,0.39093,0.32775,0.20506,1.49193,2.01762,1.02153,0.000759035,0.000759035,0.000759035
18,3617.88,1.19404,1.3223,1.02309,0.58193,0.40154,0.36926,0.22345,1.41124,1.94515,1.00535,0.000737037,0.000737037,0.000737037
19,3783.26,1.20361,1.29259,1.01958,0.60019,0.34589,0.3497,0.22429,1.44251,1.9797,1.01765,0.00071504,0.00071504,0.00071504
20,4424.45,1.16293,1.32051,1.00576,0.4832,0.52149,0.38975,0.22215,1.52384,1.84949,1.03895,0.000693042,0.000693042,0.000693042
21,6846.31,1.1432,1.19845,1.01438,0.3721,0.55243,0.35203,0.19255,1.60888,1.89529,1.07645,0.000671044,0.000671044,0.000671044
22,7595.67,1.16368,1.26987,1.0166,0.57622,0.47873,0.35711,0.22308,1.40618,1.87696,0.9965,0.000649046,0.000649046,0.000649046
23,7951.51,1.17191,1.21121,1.01961,0.54604,0.37747,0.38125,0.24777,1.41882,1.87899,1.01642,0.000627048,0.000627048,0.000627048
24,8307.66,1.14965,1.24437,1.00393,0.36656,0.42383,0.36218,0.22284,1.46018,1.94953,1.03179,0.000605051,0.000605051,0.000605051
25,8664.64,1.16532,1.25987,1.01142,0.46018,0.39402,0.36515,0.22832,1.44526,1.77682,1.02462,0.000583053,0.000583053,0.000583053
26,9023.13,1.15998,1.19765,0.99898,0.43262,0.50066,0.38333,0.23497,1.521,1.80371,1.02124,0.000561055,0.000561055,0.000561055
27,9382.96,1.16481,1.20968,1.00188,0.62439,0.49453,0.43329,0.25846,1.52482,1.87883,1.01848,0.000539057,0.000539057,0.000539057
28,9870.18,1.14253,1.15337,0.99805,0.47311,0.39106,0.36793,0.216,1.53601,1.74644,1.04147,0.000517059,0.000517059,0.000517059
29,10382.6,1.12391,1.18507,0.99572,0.47274,0.42116,0.33817,0.20446,1.45332,2.09913,1.00207,0.000495062,0.000495062,0.000495062
30,10898.1,1.15631,1.12819,1.00313,0.54495,0.4532,0.35708,0.20099,1.60284,1.87255,1.04472,0.000473064,0.000473064,0.000473064
31,16651.2,1.12974,1.10181,0.99295,0.5717,0.43443,0.3368,0.22182,1.33637,1.78595,0.9817,0.000451066,0.000451066,0.000451066
32,16864,1.09848,1.11551,0.98066,0.54117,0.43953,0.35638,0.23068,1.41618,1.87016,1.00009,0.000429068,0.000429068,0.000429068
33,17064,1.11406,1.04633,0.98656,0.44538,0.46194,0.32564,0.20087,1.45651,1.96186,1.01807,0.00040707,0.00040707,0.00040707
34,17261.6,1.0871,1.06858,0.97329,0.40653,0.44791,0.3533,0.23281,1.42534,1.90058,0.99441,0.000385073,0.000385073,0.000385073
35,17437.4,1.07816,1.06246,0.97344,0.54893,0.48178,0.37304,0.2283,1.52295,1.7058,1.03046,0.000363075,0.000363075,0.000363075
36,17610,1.05651,1.09073,0.9777,0.48281,0.4649,0.34938,0.20823,1.48625,1.82284,1.03446,0.000341077,0.000341077,0.000341077
37,17778.7,1.07614,1.03362,0.97444,0.40039,0.48587,0.30743,0.1799,1.58523,1.83707,1.06091,0.000319079,0.000319079,0.000319079
38,17954.1,1.09094,1.08401,0.98309,0.44324,0.48159,0.33721,0.20735,1.49176,1.87329,1.01418,0.000297081,0.000297081,0.000297081
39,18146.2,1.06062,1.01712,0.97548,0.47078,0.51604,0.37313,0.2177,1.481,1.76039,1.02041,0.000275084,0.000275084,0.000275084
40,18337.4,1.05626,1.01027,0.97558,0.48926,0.45703,0.38373,0.21522,1.59417,1.81768,1.06537,0.000253086,0.000253086,0.000253086
41,18530.9,1.07875,1.04527,0.97726,0.49372,0.371,0.34296,0.20288,1.53895,2.09893,1.06157,0.000231088,0.000231088,0.000231088
42,18697.8,1.05677,1.01088,0.97322,0.38351,0.4084,0.28821,0.15992,1.62026,2.15389,1.07227,0.00020909,0.00020909,0.00020909
43,18861.5,0.99271,3.4995,0.92029,0.42702,0.39922,0.34935,0.20397,1.56821,1.90869,1.04988,0.000187092,0.000187092,0.000187092
44,19025.9,1.01038,0.94617,0.95744,0.46333,0.48159,0.39618,0.22472,1.54849,1.84234,1.03642,0.000165095,0.000165095,0.000165095
45,19190.4,1.03932,0.94145,0.95581,0.47964,0.43443,0.3517,0.20791,1.5228,1.97103,1.03641,0.000143097,0.000143097,0.000143097
46,19354.7,1.02115,0.89676,0.97731,0.52405,0.4655,0.37167,0.22497,1.50385,1.88117,1.03126,0.000121099,0.000121099,0.000121099
47,19518.7,1.0184,0.94434,0.96887,0.55226,0.39215,0.34899,0.21603,1.49886,2.05994,1.019,9.91012e-05,9.91012e-05,9.91012e-05
